DATE,PCEPI
2019-01-01,102.648
2019-02-01,102.836
2019-03-01,103.069
2019-04-01,103.36
2019-05-01,103.435
2019-06-01,103.484
2019-07-01,103.622
2019-08-01,103.67
2019-09-01,103.733
2019-10-01,103.917
2019-11-01,104.024
2019-12-01,104.307
2020-01-01,104.49
2020-02-01,104.573
2020-03-01,104.271
2020-04-01,103.838
2020-05-01,103.942
2020-06-01,104.27
2020-07-01,104.578
2020-08-01,104.87
2020-09-01,105.057
2020-10-01,105.151
2020-11-01,105.258
2020-12-01,105.699
2021-01-01,106.147
2021-02-01,106.5
2021-03-01,107.054
2021-04-01,107.618
2021-05-01,108.175
2021-06-01,108.76
2021-07-01,109.256
2021-08-01,109.674
2021-09-01,110.034
2021-10-01,110.762
2021-11-01,111.5
2021-12-01,112.191
2022-01-01,112.805
2022-02-01,113.471
2022-03-01,114.469
2022-04-01,114.812
2022-05-01,115.525
2022-06-01,116.638
2022-07-01,116.631
2022-08-01,116.956
2022-09-01,117.371
2022-10-01,117.919
2022-11-01,118.224
2022-12-01,118.384
2023-01-01,119.018
2023-02-01,119.369
2023-03-01,119.538
2023-04-01,119.951
2023-05-01,120.15
2023-06-01,120.469
2023-07-01,120.607
2023-08-01,120.97
2023-09-01,121.419
2023-10-01,121.484
2023-11-01,121.493
2023-12-01,121.66
2024-01-01,122.23
2024-02-01,122.598
2024-03-01,123.038
2024-04-01,123.341
2024-05-01,123.348
2024-06-01,123.539
2024-07-01,123.736
2024-08-01,123.889
2024-09-01,124.164
2024-10-01,124.494
2024-11-01,124.637
2024-12-01,124.979
2025-01-01,125.417
2025-02-01,125.921
2025-03-01,125.941
2025-04-01,126.15
2025-05-01,126.38
2025-06-01,126.743
2025-07-01,126.96
2025-08-01,127.293
2025-09-01,127.625
2025-10-01,127.871
2025-11-01,128.152
2025-12-01,128.576
2026-01-01,129.023
2026-02-01,129.539
2026-03-01,130.403
2026-04-01,130.938
2026-05-01,131.527
