Date,Open,High,Low,Close,Volume
2024-08-28 00:00:00+00:00,59109.9140625,59407.74609375,59094.35546875,59363.85546875,0
2024-08-28 01:00:00+00:00,59434.9140625,59435.83203125,58966.78515625,59132.20703125,572125184
2024-08-28 02:00:00+00:00,59377.46484375,59384.078125,59209.22265625,59347.32421875,354197504
2024-08-28 03:00:00+00:00,59634.77734375,59634.77734375,59341.80859375,59341.80859375,170561536
2024-08-28 04:00:00+00:00,59303.94140625,59642.328125,59303.94140625,59599.23046875,326336512
2024-08-28 05:00:00+00:00,59326.359375,59491.640625,59282.1796875,59302.76171875,317083648
2024-08-28 06:00:00+00:00,59211.10546875,59352.6953125,59158.99609375,59314.8984375,0
2024-08-28 07:00:00+00:00,58616.234375,59281.69140625,58616.234375,59196.51171875,764833792
2024-08-28 08:00:00+00:00,59276.58984375,59283.8984375,58579.80078125,58631.05859375,1143951360
2024-08-28 09:00:00+00:00,60181.64453125,60181.64453125,59207.94140625,59255.390625,890781696
2024-08-28 10:00:00+00:00,59758.5625,60199.6875,59729.20703125,60199.6875,0
2024-08-28 11:00:00+00:00,59956.0703125,60081.890625,59730.3515625,59771.52734375,11124736
2024-08-28 12:00:00+00:00,59996.98828125,60143.35546875,59905.36328125,59945.23828125,0
2024-08-28 13:00:00+00:00,59400.36328125,60009.80078125,59400.36328125,60009.80078125,0
2024-08-28 14:00:00+00:00,59207.0,59897.953125,58998.68359375,59366.49609375,0
2024-08-28 15:00:00+00:00,59007.1484375,59210.33984375,58507.59765625,59210.33984375,176193536
2024-08-28 16:00:00+00:00,59194.60546875,59194.60546875,57913.9921875,59013.67578125,1837461504
2024-08-28 17:00:00+00:00,58663.00390625,59197.734375,58663.00390625,59197.734375,637906944
2024-08-28 18:00:00+00:00,59391.37109375,59398.24609375,58632.1953125,58653.66015625,726409216
2024-08-28 19:00:00+00:00,59155.9140625,59822.64453125,59155.9140625,59503.2421875,1142468608
2024-08-28 20:00:00+00:00,59374.25,59522.9453125,58903.37109375,58903.37109375,1529135104
2024-08-28 21:00:00+00:00,59162.625,59470.80859375,59128.8203125,59361.19140625,0
2024-08-28 22:00:00+00:00,59184.01953125,59242.25390625,58889.1171875,59133.82421875,0
2024-08-28 23:00:00+00:00,59027.46875,59206.09375,59023.50390625,59200.19921875,0
2024-08-29 00:00:00+00:00,59193.296875,59217.32421875,58942.72265625,59030.64453125,0
2024-08-29 01:00:00+00:00,58994.08984375,59311.53125,58941.50390625,59218.85546875,0
2024-08-29 02:00:00+00:00,59163.71484375,59177.57421875,58963.328125,59003.20703125,0
2024-08-29 03:00:00+00:00,59163.234375,59186.27734375,59067.578125,59148.37109375,0
2024-08-29 04:00:00+00:00,59203.92578125,59219.3671875,59116.5703125,59157.7734375,0
2024-08-29 05:00:00+00:00,59452.4375,59476.609375,59175.41796875,59210.51171875,0
2024-08-29 06:00:00+00:00,59590.1171875,59741.38671875,59398.0390625,59460.38671875,287612928
2024-08-29 07:00:00+00:00,59599.828125,59706.8359375,59536.41015625,59585.796875,0
2024-08-29 08:00:00+00:00,59539.84765625,59630.01171875,59396.78125,59600.125,0
2024-08-29 09:00:00+00:00,59592.00390625,59774.5078125,59557.640625,59557.640625,0
2024-08-29 10:00:00+00:00,59702.7109375,59811.37890625,59598.01953125,59598.01953125,0
2024-08-29 11:00:00+00:00,60135.0078125,60465.23046875,59652.72265625,59687.1171875,839774208
2024-08-29 12:00:00+00:00,60331.46875,60489.5546875,60030.33984375,60106.28515625,664461312
2024-08-29 13:00:00+00:00,60623.84375,60659.23046875,60226.7265625,60332.27734375,517238784
2024-08-29 14:00:00+00:00,60836.171875,60922.828125,60485.08203125,60643.08203125,0
2024-08-29 15:00:00+00:00,60816.8828125,61128.07421875,60816.8828125,60828.61328125,0
2024-08-29 16:00:00+00:00,60334.00390625,60965.78125,60269.04296875,60806.51171875,0
2024-08-29 17:00:00+00:00,60514.83984375,60596.94921875,60221.96484375,60319.28515625,0
2024-08-29 18:00:00+00:00,59190.5390625,60532.484375,58965.5625,60532.484375,1106309120
2024-08-29 19:00:00+00:00,59216.83984375,59683.40234375,58985.90625,59178.6484375,330094592
2024-08-29 20:00:00+00:00,59488.68359375,59500.1796875,59269.01953125,59284.7109375,0
2024-08-29 21:00:00+00:00,59519.5234375,59635.39453125,59459.4296875,59519.75,0
2024-08-29 22:00:00+00:00,59228.8203125,59517.12890625,58888.50390625,59517.12890625,382691328
2024-08-29 23:00:00+00:00,59388.6015625,59388.6015625,59159.4140625,59221.25390625,84408320
2024-08-30 00:00:00+00:00,59203.6328125,59472.11328125,59166.9375,59374.44140625,15316992
2024-08-30 01:00:00+00:00,59239.68359375,59311.83984375,58996.55078125,59202.45703125,104196096
2024-08-30 02:00:00+00:00,59201.078125,59322.11328125,59083.9140625,59200.73046875,0
2024-08-30 03:00:00+00:00,59069.96875,59197.76953125,58924.578125,59197.76953125,429301760
2024-08-30 04:00:00+00:00,59035.92578125,59150.4921875,59023.26171875,59047.49609375,0
2024-08-30 05:00:00+00:00,58866.421875,59022.9296875,58710.51171875,59022.9296875,327313408
2024-08-30 06:00:00+00:00,59351.1796875,59351.78125,58707.625,58779.109375,0
2024-08-30 07:00:00+00:00,59316.0,59576.765625,59271.77734375,59363.5078125,510117888
2024-08-30 08:00:00+00:00,59435.06640625,59548.94140625,59304.25390625,59309.1171875,108175360
2024-08-30 09:00:00+00:00,59559.2421875,59656.2578125,59434.109375,59451.15234375,71708672
2024-08-30 10:00:00+00:00,59605.87109375,59641.27734375,59447.1484375,59578.76953125,0
2024-08-30 11:00:00+00:00,59398.61328125,59612.30078125,59339.39453125,59587.3046875,0
2024-08-30 12:00:00+00:00,59536.578125,59823.2109375,59401.74609375,59401.74609375,63342592
2024-08-30 13:00:00+00:00,59626.6640625,59626.6640625,58981.38671875,59541.35546875,0
2024-08-30 14:00:00+00:00,58493.59765625,59781.671875,58493.59765625,59648.3984375,651507712
2024-08-30 15:00:00+00:00,58034.6484375,58614.1640625,58020.82421875,58464.515625,1816457216
2024-08-30 16:00:00+00:00,58495.13671875,58559.04296875,57925.1953125,58088.8515625,977539072
2024-08-30 17:00:00+00:00,58630.8359375,58685.125,58399.19921875,58539.0859375,237240320
2024-08-30 18:00:00+00:00,59321.30078125,59332.9375,58620.7265625,58620.7265625,0
2024-08-30 19:00:00+00:00,58793.48046875,59347.32421875,58745.6484375,59347.32421875,0
2024-08-30 20:00:00+00:00,59010.296875,59010.296875,58742.90625,58742.90625,0
2024-08-30 21:00:00+00:00,59032.15234375,59114.24609375,58979.47265625,59035.8828125,0
2024-08-30 22:00:00+00:00,59249.60546875,59267.7421875,59041.44140625,59041.44140625,0
2024-08-30 23:00:00+00:00,59119.4765625,59253.8359375,59098.97265625,59235.17578125,0
2024-08-31 00:00:00+00:00,59241.39453125,59419.83984375,59100.74609375,59119.34765625,130541568
2024-08-31 01:00:00+00:00,59281.734375,59318.73828125,59202.19140625,59235.99609375,0
2024-08-31 02:00:00+00:00,59185.0234375,59284.859375,59148.41015625,59277.02734375,0
2024-08-31 03:00:00+00:00,59232.58203125,59248.87109375,59127.328125,59190.76171875,0
2024-08-31 04:00:00+00:00,59329.11328125,59335.87109375,59220.24609375,59228.734375,0
2024-08-31 05:00:00+00:00,59234.78125,59337.68359375,59234.78125,59337.68359375,0
2024-08-31 06:00:00+00:00,59159.44140625,59251.94140625,59159.44140625,59233.2265625,0
2024-08-31 07:00:00+00:00,59101.87890625,59180.11328125,59074.13671875,59155.3515625,0
2024-08-31 08:00:00+00:00,59005.67578125,59125.42578125,59005.67578125,59094.55078125,0
2024-08-31 09:00:00+00:00,58927.53515625,59018.61328125,58852.76171875,58999.45703125,0
2024-08-31 10:00:00+00:00,59126.4765625,59151.77734375,58892.5546875,58915.13671875,0
2024-08-31 11:00:00+00:00,59117.01171875,59171.84375,59108.1640625,59128.6640625,0
2024-08-31 12:00:00+00:00,59214.58984375,59219.51953125,59078.84375,59116.64453125,0
2024-08-31 13:00:00+00:00,58956.47265625,59229.84375,58956.47265625,59204.3671875,0
2024-08-31 14:00:00+00:00,59128.171875,59145.12890625,58926.3515625,58954.3125,0
2024-08-31 15:00:00+00:00,58999.04296875,59152.84375,58988.0546875,59129.1640625,0
2024-08-31 16:00:00+00:00,58948.01953125,59035.12890625,58888.71484375,59009.1328125,0
